active;barcode;cost_method;standard_price;description;description_purchase;description_picking;description_pickingout;description_pickingin;description_sale;sale_delay;di_categorie_id;di_calibre_id;di_des;di_marque_id;di_origine_id;image;image_small;image_medium;color;message_last_post;di_lavage;di_station_id;purchase_line_warn_msg;sale_line_warn_msg;property_cost_method;activity_summary;name;hs_code;purchase_ok;rental;sale_ok;weight;purchase_method;invoice_policy;price;list_price;di_prixmax;di_prixmin;lst_price;expense_policy;default_code;service_type;tracking;sequence;type;di_un_prix;di_un_saisie;valuation;property_valuation
True;1230000000027;standard;0.0;;;;;;;0.0;;;;;CAMEROUN;;;;0;;False;;;;Prix standard;;ANANAS AVION C12 CAMEROUN;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10027;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000028;standard;0.0;;;;;;;0.0;;;;;BENIN;;;;0;;False;;;;Prix standard;;ANANAS BENIN PAIN DE SUCRE 10;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10028;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000029;standard;0.0;;;;;;;0.0;;;;;BENIN;;;;0;;False;;;;Prix standard;;ANANAS BENIN PAIN DE SUCRE 8;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10029;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000030;standard;0.0;;;;;;;0.0;;;;;REUNION;;;;0;;False;;;;Prix standard;;ANANAS INTERDIT;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10030;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000031;standard;0.0;;;;;;;0.0;;;;;REUNION;;;;0;;False;;;;Prix standard;;ANANAS VICTORIA 6 REUNION;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10031;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000032;standard;0.0;;;;;;;0.0;;;;;REUNION;;;;0;;False;;;;Prix standard;;ANANAS VICTORIA 7 REUNION;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10032;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000033;standard;0.0;;;;;;;0.0;;;;;REUNION;;;;0;;False;;;;Prix standard;;ANANAS VICTORIA 8 REUNION;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10033;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000034;standard;0.0;;;;;;;0.0;;;;;REUNION;;;;0;;False;;;;Prix standard;;ANANAS VICTORIA BOITE 8 REUNION;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10034;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000035;standard;0.0;;;;;;;0.0;;;;;REUNION;;;;0;;False;;;;Prix standard;;ANANAS VICTORIA BTE 6/7  REUNION;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10035;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000036;standard;0.0;;;;;;;0.0;;;;;REUNION;;;;0;;False;;;;Prix standard;;ANANAS VICTORIA BTE 6/7  REUNION;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10036;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000037;standard;0.0;;;;;;;0.0;;;;;REPUBLIQUE DOMINICAINE;;;;0;;False;;;;Prix standard;;ANANAS X.SWEET AVION 6 REPDOM;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10037;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000038;standard;0.0;;;;;;;0.0;;;;;Cote d'Ivoire;;;;0;;False;;;;Prix standard;;ANANAS X.SWEET B10 C.IVOIRE;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10039;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Pièce;Colis;manual_periodic;Périodique (manuel)
